2013Latest_numbers,Annotation,Class,Orthologue count,ORF length,BS RNAs/ cell Silicotryp ,Log 2 BS RNAs/ cell Silicotryp ,RPM pA+ fragments BS,BS RNAs/cell pA+ fragments ,Log 2 BS RNAs/cell pA+ fragments ,RPM Ribosome profiling,RPM Ribsome profiling x orthogue count,Ribosomes/cell/gene,Ribosomes/mRNA,Ribosomes/kb BS,Fraction in polysomes,mRNA abundance BS/PC (Silicotryp),"ribosomes/kb, BS/PC"
Tb927.7.740,"chaperone protein DNAj, putative",Chaperone,1,1644,1.1,0.18,151.47,3.03,1.60,35.53,35.53,3.12,2.75,1.67,0.707,0.97,0.717
Tb927.7.680,"chaperone protein DNAj, putative",Chaperone,1,2325,1.2,0.27,140.06,2.80,1.49,26.99,26.99,2.37,1.96,0.84,0.712,1.01,0.274
Tb927.8.4470,"chaperone protein DNAj, putative",Chaperone,1,714,0.9,-0.09,82.32,1.65,0.72,10.54,10.54,0.92,0.98,1.37,0.532,0.75,1.046
Tb927.9.8410,"chaperone protein DNAj, putative",Chaperone,1,1383,4.5,2.17,111.40,2.23,1.16,122.18,122.18,10.72,2.38,1.72,0.772,1.02,0.444
Tb927.4.2970,"chaperone protein DNAj, putative",Chaperone,1,1008,1.1,0.18,47.33,0.95,-0.08,11.03,11.03,0.97,0.86,0.85,0.605,1.26,0.497
Tb927.1.1960,"chaperone protein DNAj, putative",Chaperone,1,1977,1.1,0.11,122.25,2.45,1.29,92.13,92.13,8.08,7.46,3.77,0.779,1.27,0.453
Tb927.10.12380,"chaperone protein DNAj, putative",Chaperone,1,1743,1.6,0.68,197.52,3.95,1.98,54.78,54.78,4.8,3,1.72,0.603,0.93,1.792
Tb927.7.4590,"chaperone protein DNAj, putative",Chaperone,1,1530,1.0,0.03,111.95,2.24,1.16,23.80,23.8,2.09,2.04,1.33,0.605,2.23,0.704
Tb927.3.1430,"chaperone protein DNAj, putative",Chaperone,2,1152,1.8,0.85,111.52,4.46,2.16,53.99,107.98,9.47,5.24,4.55,0.727,2.31,2.136
Tb927.11.5220,"chaperone protein DNAj, putative",Chaperone,1,2301,1.9,0.93,206.46,4.13,2.05,207.77,207.77,18.22,9.55,4.15,0.801,1.78,0.613
Tb927.9.8160,"chaperone protein DNAj, putative",Chaperone,1,1293,2.4,1.28,109.14,2.18,1.13,97.08,97.08,8.51,3.5,2.71,0.783,1.08,0.326
Tb927.6.3730,"chaperone protein DNAj, putative",Chaperone,1,921,1.0,-0.06,97.74,1.95,0.97,31.49,31.49,2.76,2.89,3.14,0.599,0.6,2
Tb927.10.13830,"chaperone protein DNAj, putative",Chaperone,1,723,2.2,1.13,133.28,2.67,1.41,70.43,70.43,6.18,2.82,3.9,0.798,0.45,1.444
Tb927.10.8540,"chaperone protein DNAj, putative",Chaperone,1,1011,2.8,1.51,254.81,5.10,2.35,306.97,306.97,26.92,9.45,9.35,0.742,0.75,1.728
Tb927.6.3120,"chaperone protein DNAj, putative",Chaperone,1,891,3.3,1.74,137.17,2.74,1.46,277.45,277.45,24.33,7.27,8.16,0.784,5.71,6.425
Tb927.10.12530,"chaperone protein DNAj, putative",Chaperone,1,501,2.4,1.26,48.71,0.97,-0.04,9.62,9.62,0.84,0.35,0.7,0.496,1.53,1.029
Tb927.4.650,"chaperone protein DNAj, putative",Chaperone,1,738,1.2,0.21,84.29,1.69,0.75,49.88,49.88,4.37,3.79,5.14,0.59,0.7,1.378
Tb927.10.6610,"chaperone protein DNAj, putative",Chaperone,1,825,3.0,1.57,122.84,2.46,1.30,79.58,79.58,6.98,2.36,2.86,0.786,1.34,1.139
Tb927.3.1760,"chaperone protein DNAj, putative",Chaperone,1,783,2.5,1.30,124.71,2.49,1.32,58.16,58.16,5.1,2.07,2.64,0.604,0.73,1.703
Tb927.11.15130,"chaperone protein DNAj, putative",Chaperone,1,960,4.4,2.13,214.27,4.29,2.10,227.52,227.52,19.95,4.55,4.74,0.778,1.78,0.787
Tb927.4.3980,"chaperone protein DNAj, putative",Chaperone,1,1488,2.9,1.55,252.08,5.04,2.33,205.43,205.43,18.02,6.13,4.12,0.769,7.1,9.364
Tb927.9.10950,"chaperone protein DNAj, putative",Chaperone,1,864,2.6,1.38,15.38,0.31,-1.70,92.49,92.49,8.11,3.11,3.6,0.756,2.24,1.065
Tb927.10.14730,"chaperone protein DNAj, putative",Chaperone,1,1332,3.1,1.63,128.61,2.57,1.36,205.14,205.14,17.99,5.8,4.35,0.709,1.71,0.916
Tb927.10.9840,"chaperone protein DNAj, putative",Chaperone,1,789,2.8,1.51,84.47,1.69,0.76,87.38,87.38,7.66,2.69,3.41,0.782,1.75,0.498
Tb927.8.1010,"chaperone protein DNAj, putative",Chaperone,1,1473,0.6,-0.83,97.25,1.95,0.96,29.36,29.36,2.57,4.58,3.11,0.708,0.82,0.987
Tb927.11.16740,"chaperone protein DNAj, putative",Chaperone,2,1155,3.9,1.95,211.80,8.47,3.08,118.68,237.36,20.82,5.39,4.67,0.814,1.92,1.287
Tb927.7.990,"chaperone protein DNAj, putative",Chaperone,1,2337,1.3,0.42,109.38,2.19,1.13,104.21,104.21,9.14,6.85,2.93,0.776,2.35,0.227
Tb927.1.4300,"chaperone protein DNAj, putative",Chaperone,1,1476,0.7,-0.53,19.77,0.40,-1.34,46.51,46.51,4.08,5.89,3.99,0.696,2.38,0.52
Tb927.2.5160,"chaperone protein DNAj, putative",Chaperone,2,1203,8.8,3.14,747.05,29.88,4.90,828.31,1656.62,145.29,16.46,13.68,0.831,1.06,0.993
Tb927.7.6200,"chaperone protein DNAj, putative",Chaperone,1,855,0.8,-0.36,47.93,0.96,-0.06,10.64,10.64,0.93,1.2,1.4,0.636,0.43,0.576
Tb927.8.1030,"chaperone protein DNAj, putative",Chaperone,1,882,0.6,-0.80,54.59,1.09,0.13,16.75,16.75,1.47,2.55,2.89,0.653,0.49,2.173
Tb927.6.2170,"co-chaperone GrpE, putative",Chaperone,1,669,2.7,1.46,89.34,1.79,0.84,71.40,71.4,6.26,2.28,3.41,0.731,0.26,0.426
Tb927.11.880,"cyclophilin a,cyclophilin type peptidyl-prolyl cis-trans isomerase (CYPA)",Chaperone,4,534,52.6,5.72,2677.01,214.16,7.74,5862.32,23449.28,2056.54,39.1,73.22,0.838,0.95,2.018
Tb927.9.11740,"cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,1,552,2.8,1.48,75.80,1.52,0.60,25.92,25.92,2.27,0.82,1.49,0.678,1.09,1.007
Tb927.9.14420,"cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,1,1155,1.1,0.16,91.05,1.82,0.86,29.21,29.21,2.56,2.29,1.98,0.734,0.5,0.756
Tb927.10.13220,"cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,1,2742,1.2,0.22,131.19,2.62,1.39,26.71,26.71,2.34,2.01,0.73,0.676,1.49,0.41
Tb927.2.1560,"cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,4,591,8.5,3.09,169.04,13.52,3.76,200.73,802.92,70.42,8.27,13.99,0.763,1.1,0.596
Tb927.9.3440,"cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,1,957,3.2,1.66,206.44,4.13,2.05,147.05,147.05,12.9,4.08,4.26,0.741,0.93,2.407
Tb927.8.6910,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,1,588,2.8,1.48,55.62,1.11,0.15,43.46,43.46,3.81,1.36,2.31,0.553,1.63,1.018
Tb927.5.1370,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,1,714,1.0,0.03,40.06,0.80,-0.32,23.48,23.48,2.06,2.02,2.83,0.638,3.16,0.617
Tb927.7.280,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,1,678,1.3,0.39,117.33,2.35,1.23,73.11,73.11,6.41,4.88,7.2,0.627,0.24,1.856
Tb927.8.5230,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,1,849,2.1,1.10,168.54,3.37,1.75,116.11,116.11,10.18,4.75,5.59,0.719,1.28,1.584
Tb927.7.4770,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,1,597,19.7,4.30,1026.32,20.53,4.36,1360.30,1360.3,119.3,6.04,10.12,0.747,1.98,1.687
Tb927.8.2000,"cyclophilin, putative (NCP1) (in PUF7-TAP)",Chaperone,4,789,5.0,2.31,111.59,8.93,3.16,112.45,449.8,39.45,7.94,10.06,0.754,1.06,0.589
Tb927.5.1020,"disulfide isomerase, putative",Chaperone,1,1770,3.0,1.61,306.59,6.13,2.62,98.06,98.06,8.6,2.82,1.59,0.766,1.77,1.314
Tb927.10.16100,FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase,Chaperone,2,1278,10.6,3.40,616.35,24.65,4.62,734.32,1468.64,128.8,12.19,9.54,0.802,1.6,1.387
Tb927.10.15590,"FKBP-type peptidyl-prolyl cis-trans isomerase, conserved",Chaperone,1,591,1.8,0.85,207.51,4.15,2.05,115.63,115.63,10.14,5.62,9.51,0.752,1.33,2.292
Tb927.10.15600,"FKBP-type peptidyl-prolyl cis-trans isomerase, conserved",Chaperone,1,1002,0.7,-0.53,74.69,1.49,0.58,20.82,20.82,1.83,2.63,2.62,0.76,1.66,1.758
Tb927.9.9860,"GRP170, HSP70 and actin-like ATPase domains",Chaperone,1,2163,10.2,3.36,535.59,10.71,3.42,439.62,439.62,38.56,3.76,1.74,0.817,4.74,0.49
Tb927.7.710,"heat shock 70 kDa protein, putative (HSP70.4)",Chaperone,5,1920,9.0,3.16,594.45,59.45,5.89,840.31,4201.55,368.48,41.11,21.41,0.862,1.67,0.385
Tb927.7.1030,"heat shock 70 kDa protein, putative (HSP70b)",Chaperone,1,2613,2.1,1.07,242.71,4.85,2.28,58.23,58.23,5.11,2.44,0.93,0.723,2.47,0.423
Tb927.3.3330,"heat shock protein 20, putative",Chaperone,1,426,4.2,2.06,111.12,2.22,1.15,110.68,110.68,9.71,2.33,5.47,0.742,0.41,1.495
Tb927.11.11330,"heat shock protein 70, major HSP70",Chaperone,3,1986,55.9,5.81,4851.47,291.09,8.19,9733.98,29201.94,2561.06,45.8,23.06,0.823,0.63,1.048
Tb927.10.10980,"heat shock protein 83, HSP83",Chaperone,11,2115,67.5,6.08,358.32,78.83,6.30,542.39,5966.29,523.25,7.75,3.66,0.823,1.21,0.22
Tb927.11.2650,"heat shock protein 84, putative, mit HSp90",Chaperone,1,2262,4.8,2.27,398.53,7.97,2.99,768.29,768.29,67.38,14.01,6.19,0.845,0.77,0.46
Tb927.7.2070,"heat shock protein DNAJ, putative",Chaperone,1,987,2.2,1.17,119.28,2.39,1.25,115.57,115.57,10.14,4.51,4.57,0.733,1.59,0.747
Tb927.5.1520,"heat shock protein HslU1, in mitochondrion",Chaperone,1,1428,3.8,1.92,131.59,2.63,1.40,369.59,369.59,32.41,8.56,5.99,0.779,1.62,0.644
Tb927.11.12230,"heat shock protein HslU2, in mitochondrion",Chaperone,1,1491,2.4,1.24,124.96,2.50,1.32,150.90,150.9,13.23,5.62,3.77,0.787,1.34,1.013
Tb927.10.12710,"heat shock protein, HSP110",Chaperone,1,2436,8.5,3.09,804.60,16.09,4.01,2065.46,2065.46,181.14,21.22,8.71,0.862,3.31,0.324
Tb927.10.5660,"heat shock protein, putative",Chaperone,1,1008,0.9,-0.09,58.39,1.17,0.22,21.73,21.73,1.91,2.04,2.02,0.654,0.92,0.537
Tb927.3.5340,"Hsc70-interacting protein (Hip), putative",Chaperone,1,1155,4.9,2.29,447.52,8.95,3.16,557.21,557.21,48.87,9.98,8.64,0.819,0.41,1.789
Tb927.10.2620,HSP20 cold-shock domain (p23-like),Chaperone,2,579,3.9,1.96,144.21,5.77,2.53,129.49,258.98,22.71,5.85,10.1,0.725,0.48,1.656
Tb927.9.13290,HSP20 domain,Chaperone,1,1017,0.9,-0.19,88.25,1.77,0.82,20.61,20.61,1.81,2.06,2.03,0.582,1.03,1.43
Tb927.11.16050,HSP20 domain,Chaperone,1,1809,0.9,-0.09,99.05,1.98,0.99,74.18,74.18,6.51,6.94,3.84,0.685,2.34,0.507
Tb927.9.10230,HSP20 domain (p23-like),Chaperone,2,507,22.1,4.46,499.26,19.97,4.32,755.98,1511.96,132.6,6.01,11.85,0.835,0.66,1.376
Tb927.9.4500,"HSP70, endoplasmatic reticulum, HSP70.a",Chaperone,1,2508,5.9,2.57,885.29,17.71,4.15,808.17,808.17,70.88,11.93,4.76,0.834,5.61,0.754
Tb927.10.14740,"hypothetical protein, conserved",Chaperone,2,1158,4.0,2.00,164.11,6.56,2.71,120.97,241.94,21.22,5.3,4.58,0.753,1.23,1.735
Tb927.11.15480,"hypothetical, HSP20-like chaperone",Chaperone,1,627,5.1,2.34,160.73,3.21,1.68,124.01,124.01,10.88,2.14,3.41,0.747,1.26,1.337
Tb927.10.9420,"mitochondrial chaperone BCS1, putative",Chaperone,1,1599,1.0,0.07,125.09,2.50,1.32,19.30,19.3,1.69,1.61,1.01,0.639,1.42,0.795
Tb927.8.3580,"mitochondrial chaperone BCS1, putative",Chaperone,1,1443,0.9,-0.12,108.67,2.17,1.12,22.71,22.71,1.99,2.16,1.5,0.627,0.9,0.612
Tb927.9.9780,"peptidyl-prolyl cis-trans isomerase (cyclophilin- 40), putative",Chaperone,1,1065,7.3,2.87,352.50,7.05,2.82,280.18,280.18,24.57,3.37,3.16,0.747,1.81,1.491
Tb927.3.3100,"peptidyl-prolyl cis-trans isomerase NIMA-interacting 4, putative",Chaperone,1,369,5.5,2.45,59.43,1.19,0.25,33.31,33.31,2.92,0.54,1.46,0.696,0.94,1.292
Tb927.7.2480,"peptidyl-prolyl cis-trans isomerase, putative (PAR45)",Chaperone,1,1152,1.1,0.08,98.86,1.98,0.98,22.07,22.07,1.94,1.83,1.59,0.652,0.85,1.272
Tb927.10.4620,"peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Chaperone,1,327,4.6,2.20,82.74,1.65,0.73,57.05,57.05,5,1.09,3.33,0.599,0.41,1.8
Tb927.8.690,"peptidyl-prolyl cis-trans isomerase/rotamase, putative,PPIase, putative (PIN1)",Chaperone,1,348,5.7,2.51,86.87,1.74,0.80,107.44,107.44,9.42,1.65,4.74,0.638,1.3,1.15
Tb927.5.580,"prefoldin subunit, putative",Chaperone,1,408,9.6,3.26,139.07,2.78,1.48,219.80,219.8,19.28,2.01,4.93,0.708,2.34,0.854
Tb927.7.2590,"prefoldin, putative",Chaperone,1,513,6.2,2.64,160.30,3.21,1.68,121.82,121.82,10.68,1.71,3.33,0.833,0.88,0.719
Tb927.7.570,"prefoldin, putative",Chaperone,1,594,7.3,2.87,196.95,3.94,1.98,179.01,179.01,15.7,2.14,3.6,0.732,1.41,0.918
Tb927.7.5790,"protein disulfide isomerase, ERp44-like",Chaperone,1,408,27.2,4.76,216.77,4.34,2.12,871.42,871.42,76.42,2.81,6.89,0.858,5.59,0.898
Tb927.10.8230,"protein disulfide isomerase,ERp57-like, cofactor wth calnexin, putative",Chaperone,1,1494,32.5,5.02,2096.78,41.94,5.39,2109.13,2109.13,184.97,5.69,3.81,0.86,7.67,0.737
Tb927.7.1300,"protein disulfide isomerase,ERp72-like, cofactor wth calnexin, putative",Chaperone,1,1134,12.3,3.62,795.14,15.90,3.99,740.54,740.54,64.95,5.29,4.66,0.82,3.37,0.82
Tb927.1.3200,"SGT1-like protein, putative",Chaperone,1,666,3.5,1.80,141.39,2.83,1.50,237.77,237.77,20.85,5.97,8.96,0.819,2.37,0.623
Tb927.5.2940,"stress-induced protein sti1, putative",Chaperone,1,1653,13.9,3.80,806.23,16.12,4.01,1182.66,1182.66,103.72,7.45,4.51,0.824,2.44,0.837
Tb927.10.4450,"stress-inducible protein STI1-like, putative",Chaperone,2,774,7.0,2.81,281.84,11.27,3.49,223.23,446.46,39.16,5.57,7.2,0.753,1.34,1.846
Tb927.10.5180,"TPR-repeat-containing chaperone protein DNAJ, putative",Chaperone,1,2922,1.1,0.19,112.61,2.25,1.17,150.82,150.82,13.23,11.58,3.96,0.746,3.39,0.284
Tb927.4.880,"TPR-repeat-containing chaperone protein DNAJ, putative",Chaperone,1,1917,1.0,0.02,115.82,2.32,1.21,63.01,63.01,5.53,5.44,2.84,0.714,1.8,1.235
Tb927.7.3630,"TPR-repeat-containing chaperone protein DNAJ, putative",Chaperone,1,1587,6.5,2.69,303.95,6.08,2.60,160.50,160.5,14.08,2.18,1.37,0.825,6.65,0.343
Tb927.4.2220,"TPR-repeat-containing chaperone protein DNAJ, putative",Chaperone,1,2118,1.1,0.15,44.04,0.88,-0.18,129.46,129.46,11.35,10.25,4.84,0.745,2.12,0.473
Tb927.10.4900,"TPR-repeat-containing chaperone protein DNAJ, putative,TPR repeat protein",Chaperone,1,1500,4.5,2.17,204.30,4.09,2.03,160.40,160.4,14.07,3.13,2.09,0.827,1.7,0.602
Tb927.8.5890,Anti-silencing function ASF1B,Chromatin,1,675,1.9,0.91,65.46,1.31,0.39,45.96,45.96,4.03,2.14,3.17,0.567,1.82,0.328
Tb927.1.630,anti-silencing protein ASF1A,Chromatin,1,516,2.7,1.45,52.47,1.05,0.07,30.34,30.34,2.66,0.98,1.9,0.674,2.05,0.423
Tb927.10.7420,"bromodomain factor 2 protein, putative",Chromatin,1,675,1.3,0.41,68.88,1.38,0.46,62.79,62.79,5.51,4.13,6.12,0.767,1.28,1.159
Tb927.10.7050,"chromatin assembly factor 1 subunit B, putative",Chromatin,1,1653,1.0,0.06,105.79,2.12,1.08,30.69,30.69,2.69,2.59,1.57,0.662,1.06,0.492
Tb927.10.7510,"chromatin binding protein, putative",Chromatin,1,1470,1.2,0.30,108.48,2.17,1.12,91.12,91.12,7.99,6.47,4.4,0.666,1.48,1.108
Tb927.9.4900,"condensin subunit 1, putative",Chromatin,1,3777,1.3,0.40,205.02,4.10,2.04,134.30,134.3,11.78,8.91,2.36,0.751,2.8,0.314
Tb927.6.4820,"CPC1, chromosomal passenger complex",Chromatin,1,792,1.9,0.90,88.66,1.77,0.83,92.73,92.73,8.13,4.34,5.48,0.686,1.4,0.817
Tb927.11.14840,"CPC2, chromosomal passenger complex",Chromatin,1,753,7.2,2.85,294.06,5.88,2.56,65.78,65.78,5.77,0.8,1.06,0.65,2.98,0.631
Tb927.8.5770,Elongator-like Protein 3a ELP3a,Chromatin,2,2040,1.0,-0.02,163.31,6.53,2.71,37.79,75.58,6.63,6.72,3.29,0.689,0.75,0.841
Tb927.3.3490,"high mobility group protein, putative (TDP1)",Chromatin,1,816,12.2,3.61,225.55,4.51,2.17,529.83,529.83,46.47,3.8,4.66,0.83,1.46,0.861
Tb927.7.4560,histone acetyltransferase HAT1,Chromatin,1,1401,1.2,0.21,131.80,2.64,1.40,96.86,96.86,8.49,7.37,5.26,0.654,1.38,0.797
Tb927.11.11530,histone acetyltransferase HAT2,Chromatin,1,1815,1.7,0.80,216.60,4.33,2.12,33.26,33.26,2.92,1.68,0.93,0.626,1.68,0.886
Tb927.10.8310,Histone acetyltransferase HAT3,Chromatin,1,852,1.7,0.75,54.77,1.10,0.13,17.52,17.52,1.54,0.91,1.07,0.648,2.59,0.459
Tb927.10.1680,histone deacetylase 1 (DAC1 or HDAC1),Chromatin,1,1167,1.4,0.47,83.87,1.68,0.75,33.34,33.34,2.92,2.11,1.81,0.613,1.73,1.131
Tb927.11.15600,histone deacetylase 2 (DAC2 or HDAC2),Chromatin,1,1701,1.3,0.36,127.61,2.55,1.35,5.08,5.08,0.45,0.35,0.21,0.635,1.63,0.913
Tb927.2.2190,histone deacetylase 3 (DAC3 or HDAC3),Chromatin,2,2058,1.6,0.67,118.12,4.72,2.24,82.70,165.4,14.51,9.12,4.43,0.761,2.3,0.597
Tb927.5.2900,histone deacetylase 4 (DAC4 HDAC4),Chromatin,2,1761,2.0,1.02,120.83,4.83,2.27,65.23,130.46,11.44,5.62,3.19,0.667,2.8,0.331
Tb927.7.2820,histone H2A,Chromatin,13,405,123.4,6.95,535.51,139.23,7.12,653.54,8496.02,745.11,6.04,14.91,0.72,0.35,3.093
Tb927.7.6360,histone H2A variant (h2aZ),Chromatin,1,540,3.2,1.66,100.46,2.01,1.01,315.99,315.99,27.71,8.77,16.24,0.827,1.86,0.837
Tb927.11.7350,histone H2B variant (H2BVAR),Chromatin,1,432,8.2,3.04,155.60,3.11,1.64,298.94,298.94,26.22,3.19,7.38,0.748,1.2,0.974
Tb927.1.2430,histone H3,Chromatin,7,402,154.8,7.27,476.96,66.77,6.06,1189.36,8325.52,730.16,4.72,11.74,0.726,1.38,0.908
Tb927.10.15350,histone H3 variant (h3vaR),Chromatin,1,420,3.2,1.66,29.88,0.60,-0.74,307.81,307.81,27,8.52,20.29,0.78,1.26,1.21
Tb927.5.4170,histone H4,Chromatin,10,303,113.6,6.83,349.43,69.89,6.13,320.25,3202.5,280.86,2.47,8.15,0.672,0.84,1.148
Tb927.1.570,"Histone-lysine N-methyltransferase,  (DOT1B)",Chromatin,1,828,1.7,0.76,122.89,2.46,1.30,57.52,57.52,5.04,2.99,3.61,0.68,0.46,1.456
Tb927.10.1440,"hypothetical protein, conserved",Chromatin,1,648,1.6,0.67,60.75,1.22,0.28,40.91,40.91,3.59,2.25,3.47,0.731,0.73,1.483
Tb927.11.13640,J-binding protein (JBP1),Chromatin,1,2520,1.7,0.75,61.82,1.24,0.31,148.29,148.29,13.01,7.76,3.08,0.789,7.23,3.949
Tb927.9.5730,nucleosome assembly protein-like protein,Chromatin,2,1269,3.7,1.89,236.91,9.48,3.24,291.46,582.92,51.12,13.76,10.84,0.811,0.85,0.46
Tb927.10.15180,"nucleosome assembly protein, putative",Chromatin,2,1101,5.4,2.43,244.48,9.78,3.29,207.00,414,36.31,6.74,6.12,0.817,0.68,0.657
Tb927.9.10100,Possible histone methyltransferase: 7 SET domains.,Chromatin,1,4350,2.5,1.35,161.61,3.23,1.69,355.06,355.06,31.14,12.24,2.81,0.783,1.22,0.115
Tb927.10.8150,predicted bromodomain protein,Chromatin,1,906,1.6,0.63,109.56,2.19,1.13,22.25,22.25,1.95,1.26,1.39,0.674,1.77,1.053
Tb927.11.6780,"regulator of chromatin condensation, putative (RCC1)",Chromatin,1,1683,1.1,0.09,203.91,4.08,2.03,54.71,54.71,4.8,4.5,2.67,0.628,0.73,0.902
Tb927.11.370,repressor activator protein 1 (RAP1),Chromatin,1,2568,2.5,1.30,236.65,4.73,2.24,181.08,181.08,15.88,6.46,2.52,0.758,1.64,0.585
Tb927.7.1690,silent information regulator 2 (SIR2RP1),Chromatin,1,1056,1.7,0.77,96.44,1.93,0.95,65.22,65.22,5.72,3.34,3.16,0.636,2.16,1.333
Tb927.9.11850,structural maintenance of chromosome 1 (SMC1),Chromatin,1,3828,1.7,0.78,145.57,2.91,1.54,216.14,216.14,18.96,11.02,2.88,0.747,2.76,0.255
Tb927.10.10340,structural maintenance of chromosome 2 (SMC2),Chromatin,1,3528,1.8,0.82,209.61,4.19,2.07,184.99,184.99,16.22,9.17,2.6,0.78,4.19,0.316
Tb927.5.3510,structural maintenance of chromosome 3 (SMC3),Chromatin,1,3600,1.8,0.88,155.72,3.11,1.64,180.46,180.46,15.83,8.57,2.38,0.767,4.41,0.117
Tb927.10.740,structural maintenance of chromosome 4 (SMC4),Chromatin,1,4101,2.2,1.15,159.32,3.19,1.67,180.02,180.02,15.79,7.11,1.73,0.748,3.94,0.285
Tb927.2.1810,transcription silencer (ISWI),Chromatin,1,3483,1.8,0.83,173.40,3.47,1.79,115.62,115.62,10.14,5.7,1.64,0.792,2.06,0.14
Tb927.11.1450,"2-oxoglutarate dehydrogenase E1 component, putative",Citric.acid.cycle,2,3027,2.3,1.18,290.20,11.61,3.54,791.51,1583.02,138.83,61.32,20.26,0.811,0.58,0.484
Tb927.11.9980,"2-oxoglutarate dehydrogenase E1 component, putative",Citric.acid.cycle,2,3018,0.7,-0.42,194.47,7.78,2.96,450.27,900.54,78.98,105.67,35.01,0.808,0.36,0.342
Tb927.11.11680,"2-oxoglutarate dehydrogenase E2 component, putative",Citric.acid.cycle,1,1152,2.6,1.38,137.88,2.76,1.46,630.22,630.22,55.27,21.3,18.49,0.814,0.27,0.938
Tb927.10.14000,aconitase (ACO),Citric.acid.cycle,1,2694,1.0,0.00,139.70,2.79,1.48,217.60,217.6,19.08,19.15,7.11,0.713,0.67,0.78
Tb927.10.13430,"citrate synthase, putative",Citric.acid.cycle,1,1455,0.7,-0.61,65.61,1.31,0.39,112.84,112.84,9.9,15.15,10.41,0.716,1.73,1.939
Tb927.11.16730,dihydrolipoyl dehydrogenase (GCVL-2),Citric.acid.cycle,1,1434,2.0,1.01,413.79,8.28,3.05,537.28,537.28,47.12,23.34,16.28,0.767,0.27,1.082
Tb927.3.4500,"fumarate hydratase, class I (FHc)",Citric.acid.cycle,2,1698,0.7,-0.43,77.37,3.09,1.63,89.69,179.38,15.73,21.26,12.52,0.703,0.32,0.487
Tb927.11.5050,"fumarate hydratase, class I (FHm)",Citric.acid.cycle,2,1668,0.7,-0.61,82.23,3.29,1.72,57.28,114.56,10.05,15.33,9.19,0.7,0.95,0.195
Tb927.9.5900,glutamate dehydrogenase (GDH),Citric.acid.cycle,1,2979,1.3,0.33,162.70,3.25,1.70,616.81,616.81,54.1,42.97,14.42,0.732,0.21,0.647
Tb927.8.3690,"isocitrate dehydrogenase [NADP], mitochondrial precursor, putative (IDH)",Citric.acid.cycle,2,1314,2.4,1.24,75.62,3.02,1.60,158.85,317.7,27.86,11.84,9.01,0.757,1.31,0.631
Tb927.11.900,"isocitrate dehydrogenase, putative (IDH)",Citric.acid.cycle,2,1242,5.6,2.48,401.91,16.08,4.01,1325.63,2651.26,232.52,41.57,33.47,0.798,2.88,1.92
Tb927.10.2560,mitochondrial malate dehydrogenase (mMDH),Citric.acid.cycle,2,957,1.5,0.60,199.69,7.99,3.00,171.06,342.12,30,19.8,20.69,0.699,0.12,0.953
Tb927.10.3650,"NADH-dependent fumarate reductase, putative",Citric.acid.cycle,3,3699,0.9,-0.13,143.40,8.60,3.11,138.69,416.07,36.49,39.89,10.78,0.742,1.23,0.298
Tb927.11.4780,"pyruvate dehydrogenase (lipoamide) kinase, putative",Citric.acid.cycle,1,1338,1.3,0.39,187.28,3.75,1.91,76.01,76.01,6.67,5.09,3.8,0.643,0.82,0.854
Tb927.10.2350,"pyruvate dehydrogenase complex E3 binding protein, putative",Citric.acid.cycle,1,783,1.5,0.55,53.84,1.08,0.11,84.81,84.81,7.44,5.09,6.5,0.766,0.32,0.87
Tb927.10.12700,"pyruvate dehydrogenase E1 alpha subunit, putative",Citric.acid.cycle,1,1137,2.1,1.07,278.34,5.57,2.48,624.30,624.3,54.75,26.01,22.88,0.827,0.61,1.209
Tb927.3.1790,"pyruvate dehydrogenase E1 beta subunit, putative",Citric.acid.cycle,1,1047,2.5,1.34,235.85,4.72,2.24,430.93,430.93,37.79,14.92,14.25,0.791,0.3,1.24
Tb927.8.6580,"succinate dehydrogenase flavoprotein, SDH1",Citric.acid.cycle,1,1830,1.1,0.19,58.54,1.17,0.23,219.43,219.43,19.24,16.82,9.19,0.735,0.55,0.592
Tb927.9.5960,"succinate dehydrogenase, SDH2C",Citric.acid.cycle,2,567,1.4,0.46,32.77,1.31,0.39,62.77,125.54,11.01,8.03,14.16,0.675,0.68,0.698
Tb927.10.7410,"succinyl-CoA ligase [GDP-forming] beta-chain, putative",Citric.acid.cycle,1,1260,5.1,2.35,370.71,7.41,2.89,621.62,621.62,54.52,10.69,8.48,0.837,0.34,0.843
